--------------------------------------------------------------------------------
This is a log file of running processes on machine created using automation script
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 8144}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 8284}
{'name': 'taskhostw.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 8328}
{'name': 'sihost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 8772}
{'name': 'svchost.exe', 'username': None, 'pid': 8844}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9024}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9080}
{'name': 'svchost.exe', 'username': None, 'pid': 9104}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9124}
{'name': 'explorer.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9244}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 9260}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9340}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9368}
{'name': 'svchost.exe', 'username': None, 'pid': 9488}
{'name': 'unsecapp.exe', 'username': None, 'pid': 9592}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9656}
{'name': 'conhost.exe', 'username': None, 'pid': 9676}
{'name': 'WmiApSrv.exe', 'username': None, 'pid': 9832}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 9968}
{'name': 'conhost.exe', 'username': None, 'pid': 10016}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10036}
{'name': 'dllhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10060}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 10164}
{'name': 'MonectServer.exe', 'username': None, 'pid': 10336}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10404}
{'name': 'OpenConsole.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10428}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10440}
{'name': 'LenovoVantage-(GenericMessagingAddin).exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10564}
{'name': 'svchost.exe', 'username': None, 'pid': 10568}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10668}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 10788}
{'name': 'svchost.exe', 'username': None, 'pid': 10792}
{'name': 'svchost.exe', 'username': None, 'pid': 11024}
{'name': 'unsecapp.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11048}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11064}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11092}
{'name': 'AutoModeDetect.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11180}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11208}
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 11284}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11344}
{'name': 'ApplicationFrameHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11348}
{'name': 'SystemSettings.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11376}
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 11384}
{'name': 'svchost.exe', 'username': None, 'pid': 11456}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11528}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11716}
{'name': 'WidgetService.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11752}
{'name': 'ShellHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11772}
{'name': 'SearchHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11840}
{'name': 'StartMenuExperienceHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11864}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11924}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11980}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 11984}
{'name': 'Widgets.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12036}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12072}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12080}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12188}
{'name': 'AcrobatNotificationClient.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12260}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12320}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12340}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 12432}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12488}
{'name': 'svchost.exe', 'username': None, 'pid': 12560}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 12580}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12784}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 12860}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13132}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13148}
{'name': 'svchost.exe', 'username': None, 'pid': 13172}
{'name': 'msedgewebview2.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13280}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13328}
{'name': 'idea64.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13448}
{'name': 'FnHotkeyCapsLKNumLK.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13576}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13664}
{'name': 'FnHotkeyUtility.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13676}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13752}
{'name': 'unsecapp.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13796}
{'name': 'AdobeCollabSync.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 13924}
{'name': 'svchost.exe', 'username': None, 'pid': 13952}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14076}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14092}
{'name': 'AdobeCollabSync.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14124}
{'name': 'svchost.exe', 'username': None, 'pid': 14428}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14504}
{'name': 'UserOOBEBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14516}
{'name': 'cmd.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 14612}
{'name': 'NisSrv.exe', 'username': None, 'pid': 14872}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15032}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15048}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15068}
{'name': 'ctfmon.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15132}
{'name': 'OpenConsole.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15264}
{'name': 'mcapexe.exe', 'username': None, 'pid': 15296}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 15680}
{'name': 'TextInputHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16028}
{'name': 'cpptools-srv.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16120}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16228}
{'name': 'FileSyncHelper.exe', 'username': None, 'pid': 16264}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16276}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16600}
{'name': 'cpptools-srv.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16632}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16696}
{'name': 'cpptools.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16748}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 16776}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 17004}
{'name': 'svchost.exe', 'username': None, 'pid': 17168}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 17532}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 17608}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 17716}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 17732}
{'name': 'AdobeNotificationClient.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 18060}
{'name': 'WhatsApp.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 18184}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 18192}
{'name': 'svchost.exe', 'username': None, 'pid': 18560}
{'name': 'MoNotificationUx.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 18696}
{'name': 'LenovoVantage-(VantageCoreAddin).exe', 'username': None, 'pid': 18964}
{'name': 'SDXHelper.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19144}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19208}
{'name': 'Locator.exe', 'username': None, 'pid': 19280}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19328}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19428}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19444}
{'name': 'WindowsPackageManagerServer.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19636}
{'name': 'sourcery.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19844}
{'name': 'sourcery.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19848}
{'name': 'cpptools-srv.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19864}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 19900}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20052}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20132}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20160}
